,issue_date,contact_1_name,latitude,longitude
2,2006-01-12,ICON IDENTITY SOLUTIONS,41.880356218,-87.632466107
5,2006-01-10,ICON IDENTITY SOLUTIONS,41.953537357,-87.727695189
6,2006-01-10,ICON IDENTITY SOLUTIONS,41.953537357,-87.727695189
7,2006-01-11,ICON IDENTITY SOLUTIONS,41.953537357,-87.727695189
8,2006-01-11,ICON IDENTITY SOLUTIONS,41.953537357,-87.727695189
9,2006-01-11,ICON IDENTITY SOLUTIONS,41.953537357,-87.727695189
10,2006-01-11,ICON IDENTITY SOLUTIONS,41.953537357,-87.727695189
15,2006-01-11,FENSKE ELECTRIC,41.78975192,-87.593028363
17,2006-04-18,"CABLE COMMUNICATIONS, INC.",41.878025655,-87.632062286
19,2006-01-11,"BAM ELECTRIC, INC.",41.770405297,-87.576268514
22,2006-01-11,"ACCU-TECH ELECTRIC, INC.",41.891291043,-87.73214148
26,2006-01-20,FENSKE ELECTRIC,41.930946774,-87.713003487
27,2006-01-19,ANDAS ELECTRICAL INC.,41.832376809,-87.671252903
28,2006-01-20,A TO Z ELECTRIC,41.715475137,-87.563640507
31,2006-01-20,ILLINOIS BELL / AT&T,41.953448954,-87.753923502
41,2007-07-07,PROGRESS ELECTRIC COMPANY,41.878050681,-87.629781008
42,2006-01-25,PROGRESS ELECTRIC COMPANY,41.885253769,-87.624634731
54,2006-01-25,PROGRESS ELECTRIC COMPANY,41.89479837,-87.615866646
56,2006-02-28,"C L C ELECTRIC, INC.",41.957487275,-87.698665488
58,2007-07-07,PROGRESS ELECTRIC COMPANY,41.893299544,-87.624064697
59,2006-01-25,"ADVENT SYSTEMS, INC.",41.870889496,-87.67651265
60,2007-08-28,CANINO ELECTRIC COMPANY,41.895060786,-87.623507509
69,2006-01-25,"ADVENT SYSTEMS, INC.",41.894852961,-87.6229018
71,2006-01-25,PROGRESS ELECTRIC COMPANY,41.885253769,-87.624634731
86,2006-02-06,FULLER-BURRELL ELECTRIC CONTRA,41.867682638,-87.704338845
92,2006-02-20,"JNS POWER & CONTROL SYSTEMS, I",41.811015032,-87.607986122
93,2006-03-13,FARRELL ELECTRIC CO.,41.692943833,-87.604412443
95,2006-03-13,FARRELL ELECTRIC CO.,41.692943833,-87.604412443
96,2006-03-13,FARRELL ELECTRIC CO.,41.859396562,-87.690644563
99,2006-03-14,SUNRISE ELECTRIC,41.778215156,-87.633464426
102,2006-04-06,"TOTAL ELECTRIC, INC.",41.760668583,-87.702854797
103,2006-03-14,BRIGHT ELECTRIC SERVICE,41.97026897,-87.7328755
104,2006-03-29,"ELECTRICAL POWER & SYSTEMS, IN",41.925026967,-87.641315154
106,2006-03-14,"FOREST SECURITY,INC.",41.962489609,-87.67229569
107,2006-03-15,CANO ELECTRIC CO.,41.80347267,-87.688113518
108,2006-03-14,O & R GROUP,41.87680832,-87.631916306
110,2006-03-29,J.I.I. MACHINING,41.689893524,-87.610356924
111,2006-03-29,"NORTECH TELECOMMUNICATIONS, IN",41.882540202,-87.624530945
112,2006-03-14,INDUSTRIAL & TESTING ELECTRICI,41.901437517,-87.73863828
117,2006-05-05,MARSHALL FIELDS,41.931897723,-87.72710503
120,2006-04-26,H AND G ELECTRIC,41.701607783,-87.718143477
127,2006-05-05,BRUMER ELECTRIC CO.,41.766121839,-87.684651455
130,2007-08-24,THE BEST GUARANTEED ELEC. CONT,41.827118844,-87.729151528
140,2006-05-11,"SHAMROCK ELECTRIC CO., INC.",41.89097123,-87.624276946
149,2011-02-11,"BATTAGLIA INDUSTRIES, INC.",41.901773279,-87.628421929
152,2007-08-28,CANINO ELECTRIC COMPANY,41.885490784,-87.630822272
164,2006-08-25,ILLINOIS BUSINESS COMMUNICATIO,41.902971912,-87.683484931
166,2006-05-09,ROM-ELECTRIC,41.790424948,-87.643985657
168,2006-05-09,"KAVANAUGH ELECTRIC, INC.",41.699041754,-87.706136613
170,2006-08-25,ILLINOIS BUSINESS COMMUNICATIO,41.988575183,-87.812977912
176,2006-05-12,BATA ELECTRIC,41.96798817,-87.741225905
178,2006-05-10,"TESLA ELECTRIC, INC.",41.885568933,-87.767679805
181,2006-05-10,CATTANEO ELECTRIC COMPANY,41.949150626,-87.798707217
185,2006-05-10,"DIAMOND ELECTRIC COMP., INC.",41.668662762,-87.638141872
190,2006-05-11,"DIAMOND ELECTRIC COMP., INC.",41.907966105,-87.679986722
198,2006-02-01,FARRELL ELECTRIC CO.,41.692943833,-87.604412443
