,job_start_date,firm_name,gis_latitude,gis_longitude
0,2020-09-17,WATTS ELECTRICAL CORP,40.656381,-73.908319
1,2019-03-19,G & F.A.ST ELECTRIC INC,40.579607,-73.962071
2,2021-02-25,WESTRISE ELECTRIC LLC,40.671282,-73.911132
3,2020-11-13,L.E.B. ELECTRIC LTD,40.672833,-73.969069
4,2021-05-04,BLAZE ELECTRIC INC.,40.663801,-73.937859
5,2021-06-04,FSM ELECTRICAL CORPORATIO,40.685987,-73.992698
6,2019-01-28,LIFE SPOT ELECTRIC CORP,40.628473,-73.993328
7,2019-09-24,ABSOLUTE ADVANCED ELEC IN,40.61502,-74.015495
8,2021-07-06,MODERN TREND ELECL CONTRG,40.696789,-73.921946
9,2020-07-29,KJK ELECTRIC INC,40.623667,-73.994542
10,2021-01-15,JOSEPH WEINSTEIN ELECTRIC,40.693139,-73.970228
11,2021-01-28,UTELL & SON ELEC'L CONT.,40.62718,-74.008452
12,2021-02-03,HORSEPOWER ELECTRIC.&,40.608862,-73.996157
13,2020-08-19,C R ELECTRIC INC,40.715364,-73.961864
14,2021-03-05,Y ELECTRIC INC,40.605326,-73.999471
15,2021-07-22,POWER CONNECT ELECTRIC CO,40.703235,-73.994071
16,2021-04-05,COUNTY ELECL CONTRACTOR I,40.617747,-73.978593
17,2019-01-28,LIFE SPOT ELECTRIC CORP,40.628473,-73.993328
18,2021-04-12,KWONG MING ELECTRIC INC,40.619441,-73.939676
19,2021-04-27,ALL POWER ELECT. INS CORP,40.678951,-73.91096
20,2019-06-20,"POWER SURGE ELECTRIC, INC",40.692092,-73.938517
21,2019-08-20,DENNISON ELECTRIC CORP,40.728744,-73.954333
22,2021-05-31,ALL SYSTEMS ELECTRIC NY L,40.671596,-73.9558
23,2021-04-27,ANTONIO CERIELLO ELEC INC,40.671954,-73.979776
24,2022-03-01,R. DONOVAN & SON ELECTRIC,40.668297,-73.954613
25,2021-06-14,M.A.M. ELECTRIC CORP,40.677437,-73.998284
26,2021-04-27,SUNRUN SOLAR ELECTL CORP,40.668396,-73.887352
27,2021-04-27,"SAFEWAY CONSTRUCTION, INC",40.590765,-73.948498
28,2021-04-27,GREY GOOSE ELECTRIC CORP,40.662179,-73.957053
29,2018-12-03,GALAXY ELECTRIC CORP,40.663141,-73.982533
30,2021-04-27,REDLINE ELECTRIC INC,40.694482,-73.995943
31,2021-04-27,AKAY ELECTRIC CORPORATION,40.684813,-74.001821
32,2021-06-14,M.A.M. ELECTRIC CORP,40.677437,-73.998284
33,2021-03-18,CONDE ELECTRIC INC,40.637115,-73.88904
34,2019-07-24,FALCON ELEC'L CONTR'G COR,40.676129,-73.880337
35,2019-10-30,WEBSTAR ELECL CONTRS INC,40.683281,-73.943465
36,2018-07-10,SHTRAL ELECT'L CONT'G COR,40.641886,-73.986852
37,2021-04-28,BAYSIDE ELEC'L CONT. CORP,40.695161,-73.944584
38,2019-11-05,BIG SHOT ELECTRIC CORP.,40.69802,-73.974986
39,2021-04-27,"LAREDO ELECTRIC, INC.",40.64807,-73.901786
40,2019-04-16,ALL WAYS ELECTRIC CORP.W,40.764859,-73.966637
41,2022-01-17,A ELECTRICAL MAIN SVC INC,40.59702,-73.972777
42,2021-04-27,WILLDAN ELECTRICAL OF NY,40.694543,-73.956376
43,2021-10-14,ELPO ELECTRICAL CONTG INC,40.677181,-74.015319
44,2019-11-15,UNITED ELEC'L CONT'G CORP,40.689592,-73.939345
45,2021-09-06,CMY ELECTRICAL CORP,40.5752,-73.975788
46,2022-06-09,MARTIN DORKIN,40.612359,-73.921781
47,2020-12-02,TRITECH ELECTL & DATA INC,40.668277,-73.954267
48,2021-04-28,MACINTOSH ELECTRIC CORP,40.675574,-73.999156
49,2022-03-01,R. DONOVAN & SON ELECTRIC,40.668297,-73.954613
50,2022-02-07,FUSED ELECTRIC CONTNG COR,40.691577,-73.969677
51,2022-02-23,FUSED ELECTRIC CONTNG COR,40.645987,-73.961467
52,2021-02-25,WCK ELECTRIC CORP.,40.644455,-74.013787
53,2021-12-24,LIT MODE ELECL CONTG INC,40.633105,-73.888903
54,2020-03-05,NAS ELECTRIC CORP,40.678948,-73.870367
55,2021-07-06,MODERN TREND ELECL CONTRG,40.692079,-73.91837
56,2021-04-27,NASH ELECTRIC SERVICES IN,40.68039,-73.942721
57,2021-06-03,PHONG ELECTRIC INC.,40.696195,-73.99542
58,2021-03-16,LEBO ELECTRIC LLC,40.586908,-73.942967
59,2020-06-30,ALDONA FIRE PROTECTION IN,40.621096,-73.967379
60,2022-09-06,HIVOLTS ELECTRICAL INC,40.63424,-73.943719
61,2021-04-07,ABILENE ELECTRIC INC,40.588099,-73.95322
62,2021-11-05,ADAM ELECL CONTRNG LLC,40.661812,-73.959371
63,2021-06-28,HECMAR ELECTRIC,40.647754,-73.919044
64,2021-04-27,BERGER QUALITY ELEC'L CON,40.609339,-74.01289
65,2021-04-27,BERGER QUALITY ELEC'L CON,40.67243,-73.915399
66,2021-04-27,S&R ELECTRICAL & MECHANIC,40.666957,-73.946774
67,2021-04-30,I.P. ELECTRIC INC,40.673465,-73.96294
68,2020-12-01,CURRENT MECHS ELEC CONTS,40.665891,-73.913695
69,2021-04-24,JAM ELECTRICAL CORP,40.689053,-73.955031
70,2021-04-28,GOODALL ELECTRIC CORP,40.599901,-73.951494
71,2021-10-29,E & M ELECTRICAL NY CORP,40.730131,-74.003056
72,2021-04-26,HIGH QUALITY ELECTRIC OF,40.660369,-73.883357
73,2021-12-24,LIT MODE ELECL CONTG INC,40.633017,-73.888802
74,2020-10-01,ACCURATE ELEC'L CORP.,40.590346,-73.959584
75,2021-04-28,AMBER ELECTL CONTNG INC,40.662285,-73.904955
76,2021-07-06,MODERN TREND ELECL CONTRG,40.69364,-73.917366
77,2021-06-24,"LENS ELECTRIC, INC",40.727959,-73.952137
78,2021-12-24,LIT MODE ELECL CONTG INC,40.635308,-73.884986
79,2021-12-17,NGM ELECTRIC INC,40.686374,-73.971482
80,2021-05-25,"LINTECH ELECTRIC, INC",40.663026,-73.894937
81,2021-04-28,STAR ELEC'L CONTRACTORS C,40.671056,-74.00022
82,2022-01-15,"TESTA ELECTRIC CO., INC",40.687112,-73.991407
83,2021-07-26,GOODALL ELECTRIC CORP,40.690892,-73.996733
84,2017-12-11,JOSEPH WEINSTEIN ELECTRIC,40.63748,-73.952616
85,2020-10-01,ACCURATE ELEC'L CORP.,40.590346,-73.959584
86,2022-04-09,BERGER QUALITY ELEC'L CON,40.667359,-73.882599
87,2021-07-06,ATMOS ELECTRIC SVCE CORP,40.593013,-73.964713
88,2021-09-02,SWITCH ELECT OF THE FIVE,40.685926,-73.946683
89,2021-09-11,PAUL VERARDI,40.621203,-73.92979
90,2018-11-08,FSM ELECTRICAL CORPORATIO,40.71938,-74.009636
91,2020-08-23,"DECECK & LEONARD,INC",40.763862,-73.96698
92,2020-09-01,ASKO ELEC CONST & MAIN IN,40.735875,-73.985289
93,2021-06-22,"SAFEWAY CONSTRUCTION, INC",40.659484,-73.937888
94,2020-10-13,ACCURATE ELEC'L CORP.,40.815961,-73.960318
95,2021-07-06,GREEN APPLE ELECL SVCS LL,40.722106,-73.997309
96,2021-07-05,BERGER QUALITY ELEC'L CON,40.681515,-73.868704
97,2021-09-07,"NTS ELECTRICAL, INC",40.717324,-74.00154
98,2021-07-06,GREEN APPLE ELECL SVCS LL,40.719755,-73.987262
99,2021-07-05,JUMPER ELECTRIC CORP,40.782295,-73.955669
100,2021-07-05,S.A.L. ELECTRIC CO INC.,40.763895,-73.964352
101,2021-07-05,S.A.L. ELECTRIC CO INC.,40.79789,-73.973215
102,2021-03-30,FIBERTEK DATA & ELEC CORP,40.678481,-73.914396
103,2021-12-24,LIT MODE ELECL CONTG INC,40.635462,-73.885148
104,2017-12-07,ELECTROTEC OF NY ELECL IN,40.698829,-73.91824
105,2017-12-20,"ALLBRIGHT ELECTRIC, INC.",40.601236,-73.97037
106,2022-02-04,IKAROS ELECTRICAL ENT INC,40.687579,-73.998514
107,2021-07-06,"GRAND ELECTRIC , INC.",40.727793,-74.004604
108,2021-07-08,A & S MASTER ELEC'L CORP,40.784404,-73.951518
109,2017-12-11,BERGER QUALITY ELEC'L CON,40.620024,-73.923084
110,2020-08-20,R & T ELECTRICAL CORP,40.768047,-73.736037
111,2020-10-27,R & T ELECTRICAL CORP,40.743712,-73.831223
112,2021-10-19,RELIANT ELEC'L CONT'G INC,40.690375,-73.960111
113,2021-12-24,LIT MODE ELECL CONTG INC,40.632926,-73.888701
114,2021-07-06,ASKO ELEC CONST & MAIN IN,40.753748,-73.822625
115,2021-07-06,BME SERVICES INC,40.782945,-73.836547
116,2021-07-06,ROBERT CHIMENTI,40.693198,-73.752676
117,2021-12-20,FOCUS ELECTRICAL INC,40.676084,-73.97316
118,2021-11-01,REDD ELECTRICAL SVCS INC,40.63165,-73.921456
119,2022-12-22,RICHARD NEU,40.697754,-73.992888
120,2017-12-07,KJK ELECTRIC INC,40.611809,-73.988741
121,2021-11-13,ALL BORO ELECTRIC CORP,40.634106,-73.950086
122,2021-05-03,HIVOLTS ELECTRICAL INC,40.632261,-74.00111
123,2021-07-06,R & T ELECTRICAL CORP,40.732012,-73.74611
124,2021-07-05,V&B ELECTRICAL CONTNG INC,40.691362,-73.835563
125,2021-07-05,BERGER QUALITY ELEC'L CON,40.683857,-73.766885
126,2022-06-13,KJK ELECTRIC INC,40.602718,-74.009777
127,2022-04-10,KGB ELEC'L CONTR'G CORP,40.616901,-74.001776
128,2022-04-11,A #1 UNIVERSAL ELEC'L INC,40.678382,-73.974965
129,2017-12-15,JOSEPH WEINSTEIN ELECTRIC,40.643882,-74.011581
130,2022-01-10,POWER DIRECT ELECTRIC INC,40.681726,-73.953594
131,2021-11-13,ALL BORO ELECTRIC CORP,40.634106,-73.950086
132,2021-11-18,NYCO ELECTRIC CORP,40.625526,-74.022238
133,2022-04-11,GOODALL ELECTRIC CORP,40.599594,-73.986813
134,2021-07-06,POWERHOUSE ELEC'L CONT I,40.550156,-74.146194
135,2021-07-05,BERGER QUALITY ELEC'L CON,40.620469,-74.163225
136,2021-07-06,ASKO ELEC CONST & MAIN IN,40.888633,-73.842464
137,2022-02-12,KWONG MING ELECTRIC INC,40.628303,-74.005382
138,2021-07-06,A. J. CARUSO ELECTRICAL I,40.591993,-74.185688
139,2021-12-24,LIT MODE ELECL CONTG INC,40.634918,-73.884576
140,2022-12-23,PROSPECT ELECT. SERV INC,40.661927,-73.994381
141,2020-08-20,R & T ELECTRICAL CORP,40.768047,-73.736037
142,2021-11-19,ISLAND ELECTRIC CORP,40.610023,-73.939616
143,2021-07-07,ILLUMINOUS ELECTRIC CORP.,40.839833,-73.874409
144,2021-07-06,BERGER QUALITY ELEC'L CON,40.814177,-73.850025
145,2020-09-01,ASKO ELEC CONST & MAIN IN,40.735875,-73.985289
146,2021-07-05,BERGER QUALITY ELEC'L CON,40.89735,-73.84206
147,2021-08-11,AMBER ELECTL CONTNG INC,40.852877,-73.854564
148,2021-05-17,RAIDEN ELECTRIC LLC,40.896529,-73.845806
149,2018-05-30,J.H. ELEC. OF NEW YORK IN,40.796122,-73.971193
150,2020-01-22,KND LICENSED ELEC'L CONT',40.645338,-74.022864
151,2018-06-26,J & F ELECL CONTNG INC,40.762992,-73.965522
152,2018-07-25,DAVEN ELECTRIC CORP,40.722309,-73.99614
153,2020-02-03,SEGA ELECTRIC LLC,40.609366,-73.954512
154,2018-11-29,CAVAN ELECTRIC CORP.,40.745074,-73.992039
155,2020-02-25,OMD ELECTRICAL CORP,40.641678,-73.986506
156,2021-05-19,ACCURATE ELEC'L CORP.,40.604152,-73.966667
157,2019-10-12,SOLAS ELECTRICAL CONTRACT,40.763283,-73.964879
158,2017-12-18,JOSEPH WEINSTEIN ELECTRIC,40.65906,-73.981514
159,2021-06-24,TFK ELECTRIC CORP,40.676963,-73.909928
160,2022-12-01,BDS ELECTRIC CORP.,40.855741,-73.884363
161,2020-01-23,SOLAS ELECTRICAL CONTRACT,40.783751,-73.981898
162,2020-07-02,WMS ELECTRICAL CONTNG LTD,40.783091,-73.976049
163,2020-08-28,CRESCO ELECTRICAL CORP,40.774017,-73.964704
164,2022-01-24,R & T ELECTRICAL CORP,40.641712,-74.020751
165,2021-07-06,BLZ ELECTRIC INC.,40.723433,-73.940462
166,2022-02-15,ALL POWER ELECT. INS CORP,40.675721,-73.95499
167,2021-07-06,PATRIOT ELECTRIC CORP,40.660845,-73.871693
168,2022-03-23,ROYAL ELEC'L CONTR'G CORP,40.688394,-73.938265
169,2021-11-10,"LENS ELECTRIC, INC",40.652398,-73.959219
170,2020-12-17,AMBER LITE ELECTRIC CORP.,40.798418,-73.933099
171,2020-12-21,ALLSTATE ELECTRIC CORP,40.750829,-73.987761
172,2021-01-06,"ECNY ELEC'L CONTR'S, INC",40.784401,-73.957329
173,2021-03-02,APPROVED ELECTRIC CORP.,40.776315,-73.978336
174,2021-03-04,JOSEPH WEINSTEIN ELECTRIC,40.715601,-73.996476
175,2021-03-16,Y ELECTRIC INC,40.723426,-74.001764
176,2021-04-08,FRED GELLER ELEC'L INC.,40.76806,-73.983545
177,2021-04-20,JOROB CONTR'G & ELEC'L CO,40.753266,-73.985238
178,2021-04-22,MACINTOSH ELECTRIC CORP,40.734852,-73.999253
179,2021-04-26,"ZWICKER ELEC. CO., INC.",40.751916,-73.998686
180,2022-08-18,E D ELECTRICAL INC,40.638154,-74.004821
181,2021-04-27,CAVAN ELECTRIC CORP.,40.82393,-73.938562
182,2021-12-08,KJK ELECTRIC INC,40.673756,-73.973622
183,2022-03-04,BERTRAM ELECTRIC CONTNG,40.608742,-73.930206
184,2021-04-27,RESPONSE ELECTRIC INC.,40.705522,-74.006929
185,2022-12-22,ELDOR ELECTRIC LLC,40.66967,-73.93383
186,2022-03-03,E.C. ELECL CONTRACTOR INC,40.57718,-73.960499
187,2021-12-08,KJK ELECTRIC INC,40.673756,-73.973622
188,2021-07-06,HI-RITE ELECTRIC CORP,40.639203,-74.003574
189,2021-04-27,MONTGOMERY ELEC'L CONTR'G,40.770176,-73.961641
190,2021-04-27,J.M.C. ELECTRICAL CORP.,40.752465,-73.989544
191,2021-07-06,ANTONIO CERIELLO ELEC INC,40.67733,-73.999088
192,2022-02-14,CNH ELECTRICAL CORP,40.682758,-73.92193
193,2021-04-27,CKC CONTRACTING CORP DBA,40.733326,-73.991077
194,2021-10-28,HI-RITE ELECTRIC CORP,40.635362,-74.00971
195,2021-04-27,A.C. MORGAN ELECTRIC,40.746712,-74.001826
196,2021-12-09,OHM PRO ELECTL CONST CORP,40.678052,-73.916347
197,2022-12-22,D & W ELECTRICAL CONT COR,40.681528,-73.957603
198,2022-06-14,HECMAR ELECTRIC,40.663393,-73.950932
199,2021-12-24,LIT MODE ELECL CONTG INC,40.635083,-73.884753
200,2021-04-27,CHARAN ELEC'L ENTERP'S IN,40.729589,-73.982555
201,2022-03-02,DENNISON ELECTRIC CORP,40.69497,-73.969192
202,2021-04-27,"ECNY ELEC'L CONTR'S, INC",40.737619,-73.990167
203,2018-07-24,ACCURATE ELEC'L CONTR'S C,40.69025,-73.99211
204,2021-05-03,M.O.S. ELEC'L CONTR'G COR,40.791312,-73.944041
205,2018-01-09,JOSEPH WEINSTEIN ELECTRIC,40.668906,-73.932951
206,2022-04-06,KWONG MING ELECTRIC INC,40.599906,-73.978138
207,2023-02-13,ROCKMOR ELEC. ENTERPR INC,40.646941,-74.02093
