,issue_date,contractors_business_name,latitude,longitude
0,2013-01-01,MEGA POWER ELECTRIC INC,33.99393,-118.33429
7,2013-01-01,ORALLANA CARLOS GUZMAN,34.11245,-118.26232
10,2013-01-01,REWIRING SPECIALISTS INC,34.2047,-118.47961
11,2013-01-02,PACIFIC COAST ELECTRIC CO,34.03607,-118.30808
14,2013-01-02,RELIABLE REMODELLERS INC,33.99393,-118.33429
20,2013-01-02,ROSENDIN ELECTRIC INC,34.09821,-118.31893
21,2013-01-02,SUPERIOR ELECTRICAL MECHANICAL & PLUMBING INC,34.06858,-118.35526
23,2013-01-02,EPICA INC,34.25213,-118.51214
24,2013-01-02,SIERRA PACIFIC GENERAL CONTRACTORS CORP,34.02041,-118.29027
25,2013-01-02,M D M BUILDERS GROUP,34.16107,-118.46469
32,2013-01-02,IVORY CONSTRUCTION AND DESIGN,34.08486,-118.35211
34,2013-01-02,SIERRA PACIFIC GENERAL CONTRACTORS CORP,34.02013,-118.28812
35,2013-01-02,FAST AND FAIR CONSTRUCTION INC,34.01675,-118.20886
42,2013-01-02,FAST AND FAIR CONSTRUCTION INC,nan,nan
53,2013-01-02,NATIONAL CONSTRUCTION RENTALS INC,34.20427,-118.50246
60,2013-01-02,OWNER-BUILDER,34.1955,-118.64314
62,2013-01-02,D M T ELECTRIC,34.07616,-118.50613
68,2013-01-02,S M ELECTRIC SERVICES CORP,33.99775,-118.46415
69,2013-01-02,SUPERIOR ELECTRICAL MECHANICAL & PLUMBING INC,34.06571,-118.34981
70,2013-01-02,J H GENERAL CONTRACTOR,34.02201,-118.24455
72,2013-01-02,TRL SYSTEMS INCORPORATED,34.05099,-118.25468
76,2013-01-02,SOLARCITY CORPORATION,34.22367,-118.43425
80,2013-01-02,SUPERIOR ELECTRICAL MECHANICAL & PLUMBING INC,34.06742,-118.34975
84,2013-01-02,GEHL ELECTRIC INC,34.0979,-118.288
92,2013-01-02,JOSHUA AND ASSOCIATES INC,34.18215,-118.38711
95,2013-01-02,SOLARCITY CORPORATION,34.2443,-118.61811
108,2013-01-02,SOLARCITY CORPORATION,34.01201,-118.4331
111,2013-01-02,POWER PLUS,34.15285,-118.32012
113,2013-01-02,SOLARCITY CORPORATION,34.17405,-118.42488
114,2013-01-02,OWNER-BUILDER,nan,nan
115,2013-01-02,REFERRAL DESIGN & CONSTRUCTION INC,34.1747,-118.55327
119,2013-01-02,UNISON ELECTRIC,34.05173,-118.2522
123,2013-01-02,VERENGO INC,34.27278,-118.47116
126,2013-01-02,AMERICAN SOLAR DIRECT INC,34.25339,-118.60807
127,2013-01-02,AMERICAN SOLAR DIRECT INC,34.14409,-118.21794
132,2013-01-02,BARRON ELECTRIC CO,34.21814,-118.48811
136,2013-01-02,SOLARCITY CORPORATION,34.23207,-118.5107
139,2013-01-02,SOLARCITY CORPORATION,34.24112,-118.54058
140,2013-01-02,BRANOVER CONTRACTORS INC,34.22813,-118.46818
149,2013-01-02,GEPHART ELECTRICAL SERVICES,34.28108,-118.4978
158,2013-01-02,GUMP ANDY INC,34.06017,-118.49972
159,2013-01-02,J M G CONSTRUCTION,nan,nan
160,2013-01-02,C E M CONSTRUCTION CORPORATION,34.05506,-118.33709
164,2013-01-02,SIERRA PACIFIC GENERAL CONTRACTORS CORP,34.02094,-118.28463
